Age,Gender,Weight (kg),Daily Water Intake (liters),Physical Activity Level,Weather,Hydration Level
34,Female,59,1.5,Low,Cold,Poor
32,Male,100,2.37,Low,Cold,Poor
52,Male,96,3.53,Moderate,Hot,Good
47,Female,89,3.31,Moderate,Cold,Good
46,Male,67,3.68,Moderate,Hot,Good
38,Male,87,3.86,Moderate,Hot,Good
29,Male,74,2.97,Moderate,Hot,Good
50,Female,62,3.33,High,Hot,Good
38,Male,45,2.85,High,Normal,Good
69,Male,59,1.5,Low,Cold,Poor
39,Female,76,2.59,Low,Hot,Good
50,Female,83,2.61,Low,Normal,Good
19,Male,82,2.32,Low,Normal,Poor
46,Male,80,3.4,Low,Hot,Good
54,Female,89,2.88,Moderate,Normal,Good
48,Male,78,3.05,Moderate,Normal,Good
35,Female,106,3.49,High,Cold,Good
32,Male,92,3.45,Moderate,Normal,Good
61,Female,54,2.6,High,Hot,Good
25,Male,89,3.0,Low,Hot,Good
49,Male,95,3.4,Moderate,Cold,Good
21,Female,83,3.58,High,Normal,Good
41,Male,99,5.0,High,Hot,Good
53,Male,102,2.44,Low,Cold,Poor
18,Female,94,2.63,Low,Cold,Poor
22,Female,50,1.87,Low,Normal,Good
56,Male,99,4.09,Moderate,Hot,Good
62,Male,58,2.4,High,Cold,Good
26,Male,59,2.49,High,Normal,Good
37,Female,65,2.56,High,Cold,Good
36,Female,102,3.34,Low,Hot,Good
23,Female,48,2.75,High,Hot,Good
59,Male,47,2.9,High,Hot,Good
32,Male,91,3.48,Moderate,Normal,Good
48,Female,83,1.73,Low,Cold,Poor
47,Female,79,3.0,High,Normal,Good
46,Female,94,3.59,High,Cold,Good
31,Male,79,2.68,Low,Hot,Good
47,Female,51,2.39,High,Normal,Good
22,Male,79,2.58,Moderate,Cold,Good
69,Female,58,2.68,High,Hot,Good
53,Female,68,2.97,Moderate,Hot,Good
62,Male,66,2.22,High,Cold,Good
66,Female,108,3.74,Moderate,Normal,Good
35,Female,86,2.21,Low,Normal,Poor
32,Male,99,4.09,Low,Hot,Good
64,Male,78,1.94,Low,Cold,Poor
53,Female,71,2.67,High,Cold,Good
68,Male,75,1.98,Moderate,Normal,Poor
38,Female,50,2.56,Low,Hot,Good
59,Female,106,4.05,High,Cold,Good
52,Male,83,2.71,Low,Hot,Good
47,Female,107,3.63,Low,Normal,Good
48,Male,84,3.54,Low,Hot,Good
42,Male,80,3.69,High,Normal,Good
56,Male,90,3.67,High,Hot,Good
40,Male,76,3.44,Moderate,Hot,Good
45,Male,60,3.08,Moderate,Hot,Good
25,Female,45,1.5,Moderate,Normal,Good
29,Female,82,2.73,Low,Normal,Good
34,Female,45,1.84,Low,Normal,Good
57,Female,100,3.59,Moderate,Normal,Good
63,Female,80,1.98,Low,Cold,Poor
67,Female,101,2.59,Low,Normal,Poor
63,Male,89,1.94,Low,Normal,Poor
19,Male,94,3.07,High,Cold,Good
34,Male,54,2.28,Low,Hot,Good
58,Male,59,1.5,Low,Normal,Poor
48,Male,65,2.84,Moderate,Normal,Good
58,Male,90,3.38,Low,Hot,Good
43,Female,95,4.25,Moderate,Hot,Good
34,Female,95,3.63,Moderate,Hot,Good
31,Male,93,3.87,Low,Hot,Good
44,Male,45,2.54,Low,Hot,Good
65,Female,94,3.14,Low,Hot,Good
34,Female,47,2.14,Low,Hot,Good
42,Female,78,3.08,High,Normal,Good
26,Female,65,3.1,Low,Hot,Good
42,Female,88,3.07,Moderate,Cold,Good
56,Female,106,4.03,High,Normal,Good
54,Female,60,1.5,Moderate,Cold,Poor
41,Female,70,2.99,Moderate,Normal,Good
40,Female,73,2.85,High,Cold,Good
37,Female,71,2.42,High,Cold,Good
61,Female,79,1.77,Low,Cold,Poor
39,Female,59,1.5,Low,Cold,Poor
30,Male,48,3.64,High,Hot,Good
40,Female,78,3.2,Moderate,Normal,Good
34,Female,72,2.55,Moderate,Cold,Good
65,Female,101,3.0,Moderate,Normal,Poor
19,Female,81,2.24,Low,Normal,Poor
43,Female,105,5.11,High,Hot,Good
37,Male,96,2.95,Low,Normal,Good
44,Female,75,2.01,Low,Cold,Poor
18,Male,50,1.83,High,Cold,Good
56,Male,107,3.22,Moderate,Normal,Good
38,Male,62,3.51,High,Hot,Good
21,Female,73,3.72,Moderate,Hot,Good
30,Female,107,3.53,Moderate,Normal,Good
36,Female,93,3.3,Low,Hot,Good
36,Male,96,3.39,Moderate,Cold,Good
34,Male,65,1.96,Moderate,Normal,Good
67,Female,92,3.35,Moderate,Normal,Good
66,Male,89,3.5,Moderate,Hot,Good
18,Male,109,4.84,Moderate,Hot,Good
64,Male,50,2.64,High,Normal,Good
21,Male,67,3.32,High,Hot,Good
62,Female,87,2.26,Moderate,Cold,Poor
56,Female,69,2.6,High,Cold,Good
34,Male,62,2.61,Moderate,Hot,Good
32,Male,59,2.93,High,Cold,Good
51,Female,92,2.68,High,Cold,Poor
64,Female,54,1.72,High,Cold,Good
69,Female,92,3.82,High,Hot,Good
39,Male,67,2.81,High,Normal,Good
26,Female,64,2.82,High,Cold,Good
61,Male,101,3.02,High,Cold,Poor
61,Female,77,2.75,Moderate,Normal,Good
65,Male,108,3.87,Moderate,Hot,Good
26,Male,61,3.2,Moderate,Hot,Good
36,Male,103,4.76,High,Hot,Good
61,Female,76,2.21,Moderate,Normal,Poor
59,Female,46,1.5,Low,Cold,Good
21,Female,61,1.5,Low,Cold,Poor
47,Female,84,4.09,High,Hot,Good
41,Female,48,2.52,High,Normal,Good
46,Female,63,2.25,Low,Hot,Good
53,Female,79,2.38,High,Cold,Good
40,Male,90,2.89,Moderate,Normal,Good
65,Male,96,2.52,Moderate,Cold,Poor
19,Male,84,2.56,Moderate,Cold,Good
48,Male,92,3.07,Moderate,Normal,Good
65,Female,96,3.44,Low,Hot,Good
53,Male,99,2.69,Low,Cold,Poor
54,Male,91,2.97,High,Cold,Good
24,Male,66,2.22,High,Cold,Good
47,Male,62,3.02,Moderate,Hot,Good
35,Female,83,3.43,Low,Hot,Good
24,Male,51,1.86,Moderate,Cold,Good
63,Male,62,1.5,Low,Cold,Poor
57,Male,52,2.08,Low,Hot,Good
34,Female,92,2.32,Low,Cold,Poor
68,Male,59,2.48,Low,Hot,Good
47,Male,107,3.85,Moderate,Cold,Good
65,Female,76,2.43,Low,Normal,Good
69,Male,57,1.5,Low,Normal,Poor
31,Male,106,5.14,High,Hot,Good
18,Male,76,4.42,High,Hot,Good
49,Male,100,3.63,High,Normal,Good
21,Female,67,2.24,Low,Normal,Good
38,Female,74,4.14,High,Hot,Good
33,Male,93,3.62,High,Normal,Good
57,Female,88,2.67,Low,Normal,Good
61,Male,103,3.29,Moderate,Cold,Good
32,Female,96,2.57,Low,Cold,Poor
61,Male,48,1.5,Moderate,Normal,Good
24,Female,90,3.42,Moderate,Normal,Good
40,Female,77,3.25,Moderate,Hot,Good
21,Female,109,3.03,Low,Cold,Poor
51,Male,108,3.7,Moderate,Hot,Good
26,Female,61,2.27,Low,Hot,Good
30,Male,47,1.59,Moderate,Cold,Good
60,Female,51,1.5,Low,Normal,Poor
41,Female,54,2.15,Moderate,Normal,Good
61,Male,83,3.15,Moderate,Normal,Good
36,Female,96,2.56,Low,Cold,Poor
54,Female,74,3.03,Moderate,Hot,Good
46,Female,65,2.67,Moderate,Normal,Good
54,Female,92,4.28,High,Hot,Good
35,Female,103,3.96,Moderate,Normal,Good
65,Female,107,2.85,Moderate,Cold,Poor
51,Female,105,4.04,High,Normal,Good
42,Female,106,4.16,Moderate,Normal,Good
47,Male,57,2.78,Low,Hot,Good
66,Female,100,4.06,High,Normal,Good
41,Female,62,2.25,Moderate,Cold,Good
34,Male,76,3.06,Moderate,Hot,Good
24,Male,57,3.3,High,Hot,Good
65,Female,86,2.48,Low,Normal,Poor
27,Female,70,2.89,Moderate,Hot,Good
49,Male,96,4.45,High,Hot,Good
58,Female,84,1.52,Low,Cold,Poor
31,Male,88,3.28,High,Normal,Good
39,Male,92,4.09,High,Hot,Good
33,Male,79,2.41,Low,Cold,Good
20,Female,49,1.5,Low,Normal,Good
46,Female,75,3.36,Low,Hot,Good
44,Female,81,3.77,High,Hot,Good
50,Male,103,3.14,Low,Normal,Good
41,Male,88,3.72,High,Cold,Good
65,Female,93,4.13,High,Hot,Good
66,Male,107,3.48,Low,Hot,Good
68,Female,55,1.98,Low,Hot,Good
19,Female,73,3.2,Low,Hot,Good
45,Male,64,3.69,High,Hot,Good
38,Male,105,4.44,Moderate,Hot,Good
23,Male,47,2.09,High,Normal,Good
24,Male,104,4.57,High,Normal,Good
22,Female,55,1.5,Low,Normal,Poor
51,Female,57,1.52,Moderate,Cold,Poor
24,Male,50,2.37,Moderate,Normal,Good
56,Male,94,3.96,High,Normal,Good
42,Male,72,2.31,Low,Normal,Good
56,Female,49,2.59,Moderate,Hot,Good
43,Female,84,3.45,Moderate,Normal,Good
64,Male,87,3.94,Moderate,Hot,Good
32,Female,70,3.15,Low,Hot,Good
26,Female,45,1.67,Moderate,Cold,Good
40,Male,89,3.54,Moderate,Hot,Good
31,Male,82,2.06,Low,Cold,Poor
35,Male,60,2.85,High,Cold,Good
46,Male,50,1.56,Moderate,Normal,Good
19,Female,75,2.91,Moderate,Cold,Good
41,Male,45,1.81,Low,Normal,Good
54,Male,71,1.5,Low,Cold,Poor
44,Male,56,2.73,Low,Hot,Good
49,Male,51,2.35,Low,Hot,Good
56,Male,87,2.46,Moderate,Cold,Poor
20,Male,90,2.3,Low,Normal,Poor
53,Male,47,2.42,High,Normal,Good
64,Female,84,3.05,High,Normal,Good
56,Male,106,3.14,Low,Normal,Poor
26,Female,90,3.41,High,Cold,Good
28,Female,104,3.06,Low,Normal,Poor
43,Female,71,3.89,High,Hot,Good
43,Male,79,3.15,High,Cold,Good
26,Male,95,3.58,Moderate,Hot,Good
60,Female,56,1.78,Moderate,Normal,Good
55,Male,51,1.75,Low,Hot,Good
35,Female,89,3.79,Moderate,Hot,Good
68,Male,83,4.35,High,Hot,Good
52,Male,67,2.59,Moderate,Normal,Good
41,Male,106,2.93,Low,Cold,Poor
26,Male,84,2.05,Low,Normal,Poor
34,Male,51,2.78,Moderate,Hot,Good
67,Male,68,1.81,Moderate,Normal,Poor
45,Male,77,2.88,Moderate,Normal,Good
27,Male,97,3.66,Low,Hot,Good
26,Female,50,3.47,High,Hot,Good
59,Male,79,3.39,Moderate,Hot,Good
36,Female,69,3.11,Moderate,Hot,Good
34,Female,80,3.65,High,Hot,Good
49,Male,65,3.27,High,Hot,Good
35,Male,45,1.5,Low,Normal,Good
19,Female,95,3.54,Moderate,Normal,Good
51,Male,80,2.45,Low,Normal,Good
68,Female,86,2.67,High,Cold,Good
37,Male,98,3.36,Moderate,Cold,Good
56,Female,74,3.44,Moderate,Hot,Good
67,Female,89,2.42,Moderate,Cold,Poor
25,Male,54,3.61,High,Hot,Good
69,Female,50,3.22,High,Hot,Good
50,Male,63,2.42,High,Cold,Good
35,Male,106,3.96,High,Cold,Good
36,Female,97,2.82,Moderate,Cold,Poor
51,Female,66,1.5,Low,Cold,Poor
27,Female,52,3.64,High,Hot,Good
55,Female,106,2.92,Moderate,Normal,Poor
62,Female,109,3.09,Low,Normal,Poor
26,Female,49,1.56,Low,Normal,Good
29,Male,102,3.24,Moderate,Normal,Good
18,Male,47,3.26,High,Hot,Good
66,Female,61,1.77,Low,Normal,Poor
23,Male,65,3.07,High,Cold,Good
64,Male,71,2.55,High,Normal,Good
45,Female,91,3.32,Low,Hot,Good
67,Female,54,1.5,Moderate,Cold,Poor
50,Male,51,1.78,Moderate,Cold,Good
61,Female,90,2.24,Low,Normal,Poor
30,Female,60,2.16,Low,Normal,Good
22,Male,82,4.02,High,Hot,Good
55,Female,100,4.25,High,Hot,Good
65,Male,103,3.17,Moderate,Cold,Good
68,Male,99,3.85,Moderate,Hot,Good
25,Female,48,2.29,Moderate,Normal,Good
39,Female,97,3.82,High,Normal,Good
66,Male,63,2.01,Low,Normal,Good
40,Male,77,3.63,High,Normal,Good
58,Female,67,2.12,Low,Normal,Good
23,Male,93,2.84,Moderate,Normal,Good
30,Male,48,3.09,High,Hot,Good
54,Female,75,2.13,Moderate,Cold,Poor
62,Male,52,1.96,Low,Hot,Good
62,Female,49,2.13,Low,Hot,Good
57,Male,53,2.57,Moderate,Hot,Good
49,Female,95,3.58,High,Normal,Good
48,Female,51,1.54,Low,Normal,Good
20,Male,95,3.83,Moderate,Normal,Good
26,Male,54,1.5,Low,Cold,Poor
67,Female,91,4.31,High,Hot,Good
47,Male,101,3.86,High,Normal,Good
32,Male,109,4.96,High,Hot,Good
20,Male,61,3.52,High,Hot,Good
25,Female,104,3.9,Moderate,Hot,Good
34,Male,106,4.74,High,Hot,Good
46,Female,98,3.21,Low,Hot,Good
28,Male,104,4.93,High,Hot,Good
63,Female,82,1.89,Low,Cold,Poor
19,Male,80,2.7,High,Cold,Good
53,Female,60,1.56,Low,Cold,Poor
42,Female,48,2.02,Moderate,Cold,Good
23,Female,45,1.65,High,Cold,Good
18,Female,107,4.08,High,Cold,Good
18,Male,109,4.55,High,Normal,Good
62,Male,74,1.92,Low,Cold,Poor
65,Male,66,1.69,Moderate,Cold,Poor
63,Male,48,1.5,Moderate,Cold,Good
61,Female,56,2.21,Low,Hot,Good
32,Male,96,4.53,High,Hot,Good
18,Female,109,3.64,Low,Hot,Good
64,Female,93,1.81,Low,Cold,Poor
39,Female,70,2.68,High,Normal,Good
38,Male,107,3.04,Low,Normal,Poor
31,Female,77,3.83,Moderate,Hot,Good
26,Male,95,3.57,High,Normal,Good
52,Female,80,3.25,High,Normal,Good
45,Female,83,3.4,Moderate,Hot,Good
27,Female,50,2.49,Moderate,Hot,Good
63,Female,59,3.16,High,Hot,Good
35,Male,63,3.04,High,Cold,Good
22,Male,68,3.55,High,Hot,Good
47,Female,59,2.56,High,Normal,Good
55,Female,88,3.31,Moderate,Hot,Good
37,Male,108,4.4,Low,Hot,Good
21,Female,49,2.19,Moderate,Normal,Good
25,Female,66,2.66,Moderate,Normal,Good
39,Female,90,3.21,Low,Hot,Good
54,Female,60,1.5,Low,Cold,Poor
20,Male,67,1.9,Moderate,Cold,Poor
22,Male,67,3.18,Low,Hot,Good
42,Male,52,1.73,Low,Cold,Good
19,Male,66,3.77,High,Hot,Good
49,Male,108,4.72,Moderate,Hot,Good
40,Male,97,3.66,Moderate,Hot,Good
50,Female,96,3.21,Low,Hot,Good
61,Female,51,1.62,Moderate,Cold,Good
18,Female,107,3.82,Low,Hot,Good
51,Female,83,2.59,High,Cold,Good
30,Female,68,2.36,Moderate,Normal,Good
36,Male,109,3.93,Moderate,Normal,Good
67,Female,77,2.37,High,Cold,Good
45,Male,85,2.3,Moderate,Cold,Poor
67,Female,55,1.9,Moderate,Cold,Good
59,Female,75,2.86,Moderate,Hot,Good
36,Male,82,3.43,High,Cold,Good
58,Male,52,1.5,Low,Cold,Poor
28,Female,64,1.75,Low,Cold,Poor
26,Female,59,2.12,Low,Hot,Good
50,Female,107,4.75,Moderate,Hot,Good
38,Male,49,2.57,Moderate,Hot,Good
38,Male,92,3.87,Low,Hot,Good
48,Male,106,4.74,Moderate,Hot,Good
23,Male,65,2.35,Low,Normal,Good
56,Male,78,2.81,High,Cold,Good
32,Female,50,1.75,Moderate,Cold,Good
66,Female,45,1.5,Low,Cold,Good
53,Female,64,3.5,High,Hot,Good
18,Male,95,4.49,Moderate,Hot,Good
42,Male,85,3.58,High,Cold,Good
29,Female,58,2.47,High,Normal,Good
34,Male,79,3.01,Moderate,Normal,Good
67,Male,80,1.79,Low,Normal,Poor
36,Female,86,3.0,Low,Hot,Good
60,Male,83,2.67,Low,Normal,Good
29,Female,91,3.0,Moderate,Normal,Good
29,Male,95,3.05,Low,Hot,Good
51,Female,93,3.68,High,Normal,Good
46,Male,49,2.12,High,Normal,Good
46,Male,108,4.62,Moderate,Hot,Good
50,Male,54,2.58,High,Normal,Good
50,Female,55,3.0,Moderate,Hot,Good
24,Female,65,4.04,High,Hot,Good
27,Female,91,4.25,High,Hot,Good
64,Female,59,2.05,High,Cold,Good
57,Female,106,3.12,Moderate,Normal,Poor
19,Male,48,1.55,Low,Cold,Good
34,Male,75,2.37,Moderate,Normal,Good
43,Female,45,2.88,Moderate,Hot,Good
54,Male,100,3.21,Low,Hot,Good
19,Female,80,3.18,Moderate,Normal,Good
39,Female,105,3.94,Moderate,Normal,Good
37,Male,80,2.63,Moderate,Normal,Good
32,Female,106,4.8,High,Hot,Good
20,Female,49,2.47,High,Cold,Good
48,Male,79,2.17,Low,Normal,Poor
23,Female,70,2.52,Low,Hot,Good
36,Male,51,3.28,High,Hot,Good
37,Male,69,2.48,High,Cold,Good
46,Male,62,3.74,High,Hot,Good
21,Female,109,2.98,Low,Normal,Poor
32,Male,98,3.41,High,Cold,Good
32,Female,94,4.41,High,Hot,Good
35,Male,46,1.64,Low,Hot,Good
33,Male,74,2.81,High,Cold,Good
52,Female,70,2.23,High,Cold,Good
22,Male,46,3.38,High,Hot,Good
37,Male,106,3.52,Moderate,Normal,Good
37,Male,94,4.32,High,Hot,Good
42,Male,97,4.93,High,Hot,Good
64,Male,87,3.32,Low,Hot,Good
56,Female,107,4.82,High,Hot,Good
33,Male,99,4.39,High,Hot,Good
60,Male,105,4.3,High,Hot,Good
68,Male,86,1.8,Low,Cold,Poor
47,Female,81,3.09,High,Normal,Good
56,Female,55,1.98,High,Cold,Good
33,Female,94,3.19,Low,Normal,Good
21,Female,98,3.48,High,Cold,Good
31,Female,49,2.94,High,Hot,Good
62,Female,62,2.39,Moderate,Normal,Good
47,Female,65,3.77,High,Hot,Good
58,Female,85,2.08,Low,Normal,Poor
44,Male,74,3.57,High,Hot,Good
38,Female,89,3.03,Moderate,Cold,Good
62,Male,89,3.15,Moderate,Hot,Good
22,Male,76,2.78,High,Cold,Good
43,Female,81,3.93,Moderate,Hot,Good
22,Male,69,3.04,High,Normal,Good
48,Male,64,2.85,Low,Hot,Good
26,Male,65,2.44,High,Cold,Good
37,Female,70,2.83,High,Cold,Good
28,Male,81,2.77,Moderate,Cold,Good
28,Male,71,3.42,Moderate,Hot,Good
51,Male,82,2.11,Moderate,Cold,Poor
18,Male,47,2.89,Moderate,Hot,Good
31,Male,96,3.98,Low,Hot,Good
22,Male,59,3.1,High,Hot,Good
31,Male,101,3.58,Moderate,Normal,Good
25,Male,63,3.59,High,Hot,Good
46,Male,85,3.12,Low,Hot,Good
30,Female,71,3.9,High,Hot,Good
43,Female,97,3.77,Moderate,Hot,Good
65,Female,53,1.87,Low,Hot,Good
49,Female,96,3.99,High,Cold,Good
68,Male,52,1.5,Low,Normal,Poor
20,Male,68,3.41,Moderate,Hot,Good
46,Male,95,2.69,Low,Cold,Poor
43,Male,62,1.94,Moderate,Normal,Good
24,Female,92,3.74,High,Cold,Good
50,Male,47,3.08,High,Hot,Good
53,Male,48,1.66,Moderate,Cold,Good
57,Female,95,3.65,High,Normal,Good
50,Male,64,2.49,Moderate,Cold,Good
69,Female,71,2.3,Low,Hot,Good
41,Male,52,2.0,Moderate,Cold,Good
27,Male,73,3.91,High,Hot,Good
18,Female,65,2.31,High,Cold,Good
26,Female,104,3.36,Low,Normal,Good
43,Male,53,3.03,High,Normal,Good
52,Male,80,1.61,Low,Cold,Poor
26,Female,66,2.39,Low,Normal,Good
26,Male,81,3.67,High,Normal,Good
25,Female,57,2.69,Moderate,Hot,Good
60,Male,81,2.35,Moderate,Normal,Poor
48,Female,69,3.38,High,Normal,Good
56,Male,65,3.1,Moderate,Hot,Good
59,Female,86,2.66,Moderate,Cold,Good
25,Male,105,4.4,High,Hot,Good
30,Female,65,1.82,Moderate,Cold,Poor
35,Male,89,3.86,High,Normal,Good
57,Male,70,2.39,Low,Hot,Good
50,Male,96,3.37,Low,Hot,Good
52,Female,56,2.82,Moderate,Hot,Good
62,Male,54,1.57,Moderate,Normal,Poor
51,Female,83,3.06,High,Cold,Good
49,Female,73,3.82,Moderate,Hot,Good
23,Female,105,4.71,Moderate,Hot,Good
46,Female,75,3.02,Moderate,Hot,Good
55,Female,101,2.78,Moderate,Normal,Poor
19,Male,56,2.6,Low,Hot,Good
63,Female,65,1.52,Moderate,Cold,Poor
63,Female,105,4.18,High,Hot,Good
32,Female,59,1.5,Low,Cold,Poor
64,Male,66,3.52,High,Hot,Good
39,Male,71,2.51,Moderate,Cold,Good
61,Male,53,3.21,High,Hot,Good
26,Male,59,3.12,High,Hot,Good
37,Female,102,4.04,Moderate,Hot,Good
36,Male,60,2.26,High,Cold,Good
25,Female,77,3.53,High,Normal,Good
35,Male,79,2.45,Low,Cold,Good
67,Male,47,1.5,Low,Cold,Good
45,Male,90,2.31,Low,Cold,Poor
64,Female,58,1.78,Moderate,Cold,Good
32,Female,75,3.54,High,Hot,Good
34,Male,95,2.11,Low,Cold,Poor
61,Male,59,2.75,High,Hot,Good
29,Male,69,2.18,Low,Normal,Good
22,Female,48,1.96,High,Normal,Good
58,Female,101,4.44,High,Hot,Good
20,Female,94,2.24,Low,Cold,Poor
27,Male,68,1.87,Low,Normal,Poor
49,Male,63,4.02,High,Hot,Good
68,Male,59,1.56,Low,Normal,Poor
52,Male,71,2.0,Low,Normal,Poor
23,Female,77,2.5,Moderate,Normal,Good
34,Female,86,3.1,Moderate,Normal,Good
57,Male,90,2.22,Low,Normal,Poor
21,Female,45,1.5,Low,Normal,Good
42,Female,96,4.38,Moderate,Hot,Good
22,Male,49,3.46,High,Hot,Good
69,Female,58,2.51,Low,Hot,Good
25,Male,45,1.7,Low,Hot,Good
68,Female,81,2.75,Low,Hot,Good
49,Female,96,4.63,High,Hot,Good
29,Female,96,4.32,High,Normal,Good
34,Female,87,2.83,Low,Normal,Good
20,Female,73,3.51,High,Normal,Good
60,Female,94,2.4,Moderate,Cold,Poor
22,Female,74,2.68,Moderate,Cold,Good
38,Male,91,3.56,High,Cold,Good
40,Female,65,1.69,Low,Cold,Poor
32,Male,61,2.37,High,Normal,Good
31,Female,103,3.54,Moderate,Normal,Good
51,Female,50,1.68,Low,Normal,Good
23,Male,51,2.64,Moderate,Hot,Good
68,Female,45,1.5,Low,Cold,Good
44,Female,47,2.15,High,Normal,Good
50,Female,61,2.53,Moderate,Normal,Good
54,Male,102,3.58,Moderate,Normal,Good
40,Male,73,2.21,Moderate,Cold,Good
44,Female,89,3.46,High,Cold,Good
48,Male,80,3.66,High,Hot,Good
54,Female,80,2.48,Low,Hot,Good
63,Female,96,3.21,Low,Hot,Good
27,Female,67,1.72,Low,Normal,Poor
63,Male,88,3.77,High,Normal,Good
61,Female,102,4.11,High,Hot,Good
69,Male,107,2.51,Low,Normal,Poor
61,Male,88,2.4,Low,Normal,Poor
45,Female,62,3.02,High,Cold,Good
27,Male,93,3.36,Moderate,Normal,Good
26,Male,59,3.26,Moderate,Hot,Good
25,Female,45,1.5,Low,Normal,Good
48,Male,62,2.4,Moderate,Normal,Good
47,Female,51,2.11,Moderate,Cold,Good
20,Female,107,4.25,Moderate,Hot,Good
55,Female,59,2.96,High,Hot,Good
47,Female,62,2.89,Moderate,Hot,Good
43,Female,84,3.57,Low,Hot,Good
25,Male,65,2.88,High,Cold,Good
38,Female,47,1.94,Moderate,Cold,Good
44,Male,71,3.21,Low,Hot,Good
50,Male,77,1.59,Low,Cold,Poor
61,Female,87,2.95,Low,Hot,Good
18,Female,61,3.08,Moderate,Hot,Good
67,Female,48,2.84,High,Hot,Good
63,Female,72,4.02,High,Hot,Good
34,Female,102,3.83,High,Normal,Good
26,Female,75,3.5,High,Normal,Good
36,Female,99,3.39,Moderate,Cold,Good
65,Male,94,3.89,High,Normal,Good
20,Female,96,2.09,Low,Cold,Poor
54,Male,59,1.5,Low,Cold,Poor
32,Female,53,1.95,Low,Normal,Good
22,Male,69,2.14,Low,Normal,Good
43,Female,108,4.41,High,Normal,Good
69,Male,53,2.49,High,Cold,Good
27,Male,106,2.92,Low,Normal,Poor
44,Female,104,3.7,Low,Hot,Good
60,Male,82,3.3,High,Cold,Good
46,Female,91,3.58,High,Cold,Good
22,Male,97,4.05,High,Cold,Good
40,Female,88,3.2,High,Cold,Good
36,Male,91,4.56,High,Hot,Good
41,Female,61,2.28,Moderate,Normal,Good
48,Female,72,2.0,Low,Normal,Poor
45,Male,100,4.06,High,Normal,Good
61,Male,86,2.31,Low,Normal,Poor
55,Male,101,2.6,Low,Cold,Poor
42,Female,88,3.61,Moderate,Hot,Good
58,Female,95,3.28,Low,Hot,Good
62,Female,52,2.55,High,Hot,Good
53,Female,65,2.66,Moderate,Hot,Good
66,Female,51,3.14,High,Hot,Good
66,Male,86,3.55,Moderate,Hot,Good
55,Female,97,3.84,High,Hot,Good
49,Male,81,2.83,High,Cold,Good
63,Male,46,1.52,High,Cold,Good
47,Female,107,3.14,Low,Cold,Poor
56,Male,93,2.19,Low,Cold,Poor
39,Female,58,3.07,High,Hot,Good
38,Female,89,3.09,Moderate,Cold,Good
18,Female,65,2.19,Low,Hot,Good
20,Male,74,2.84,Moderate,Cold,Good
36,Female,64,2.19,Low,Hot,Good
57,Male,69,1.5,Low,Cold,Poor
40,Female,96,4.98,High,Hot,Good
32,Female,96,2.9,Moderate,Normal,Good
27,Male,58,2.46,Low,Hot,Good
31,Female,77,2.89,High,Cold,Good
51,Female,63,2.48,High,Cold,Good
21,Female,80,2.77,Moderate,Normal,Good
49,Male,53,2.06,Low,Normal,Good
67,Male,64,3.19,High,Hot,Good
39,Male,92,2.64,Moderate,Cold,Poor
32,Female,76,2.92,Moderate,Normal,Good
21,Female,74,2.6,Low,Hot,Good
38,Male,85,3.69,High,Normal,Good
36,Female,92,3.74,Moderate,Hot,Good
37,Male,108,3.5,Moderate,Cold,Good
48,Female,62,2.51,Moderate,Cold,Good
63,Male,64,2.67,High,Normal,Good
39,Male,88,3.6,Moderate,Hot,Good
51,Female,109,3.85,High,Cold,Good
18,Female,82,1.96,Low,Cold,Poor
26,Male,61,3.08,High,Normal,Good
54,Female,96,3.51,High,Cold,Good
50,Male,48,1.5,Low,Normal,Good
69,Female,53,1.74,Low,Normal,Good
25,Female,49,3.58,High,Hot,Good
18,Female,59,2.8,Low,Hot,Good
55,Male,86,2.64,Moderate,Cold,Good
43,Female,105,4.76,High,Hot,Good
20,Male,98,4.28,High,Hot,Good
36,Male,104,2.85,Moderate,Cold,Poor
53,Female,65,3.13,High,Hot,Good
65,Male,70,1.79,Moderate,Cold,Poor
53,Female,68,3.91,High,Hot,Good
43,Female,65,3.75,High,Hot,Good
32,Female,50,3.26,High,Hot,Good
45,Male,52,1.73,Low,Normal,Good
34,Female,102,3.8,High,Cold,Good
53,Female,75,4.13,High,Hot,Good
19,Female,96,3.44,High,Cold,Good
36,Female,59,2.27,Low,Hot,Good
31,Female,47,1.71,High,Cold,Good
23,Female,93,2.26,Low,Cold,Poor
31,Male,64,2.29,High,Cold,Good
52,Male,89,3.0,High,Normal,Good
19,Male,89,2.92,Low,Hot,Good
41,Female,73,3.15,High,Normal,Good
21,Male,98,3.41,Moderate,Cold,Good
66,Male,76,2.25,Moderate,Cold,Poor
18,Male,107,2.73,Low,Normal,Poor
68,Female,89,2.54,Moderate,Normal,Poor
18,Female,58,1.97,Moderate,Cold,Good
20,Male,68,3.22,Moderate,Hot,Good
27,Female,57,2.28,Moderate,Normal,Good
31,Male,54,2.28,Moderate,Cold,Good
52,Male,99,3.52,Low,Hot,Good
59,Male,91,2.53,Moderate,Normal,Poor
56,Male,96,2.45,Moderate,Cold,Poor
35,Female,68,3.24,High,Normal,Good
40,Female,65,1.82,Low,Cold,Poor
43,Female,78,1.95,Low,Cold,Poor
48,Female,63,1.98,Low,Cold,Good
62,Female,57,1.89,High,Cold,Good
24,Female,71,3.44,High,Hot,Good
